"id","author_name","author_surname","?column?"
1,"Ken","Follet","Ken Follet"
81,"Walter","Isaacson","Walter Isaacson"
82,"Jon","Krakauer","Jon Krakauer"
83,"Quim","Monzó","Quim Monzó"
84,"Frederick","Forsyth","Frederick Forsyth"
85,"Ken","Follet","Ken Follet"
86,"Heidi","Howkins","Heidi Howkins"
87,"John","Keegan","John Keegan"
88,"Pau","Gasol","Pau Gasol"
89,"Haruki","Murakami","Haruki Murakami"
90,"Arantza","L. Marugán","Arantza L. Marugán"
91,"Alfredo","Merino","Alfredo Merino"
92,"John","Verdon","John Verdon"
93,"Camilla","Lackberg","Camilla Lackberg"
94,"Mario","Vaquerizo","Mario Vaquerizo"
95,"E.L.","James","E.L. James"
96,"Enric","Gonzalez","Enric Gonzalez"
97,"Risto","Mejide","Risto Mejide"
98,"Juan","Gómez Jurado","Juan Gómez Jurado"
99,"George","R. R. Martin","George R. R. Martin"
100,"Dan","Brown","Dan Brown"
101,"Andrea","Frediani","Andrea Frediani"
102,"Stephen","E. Ambrose","Stephen E. Ambrose"
103,"Kilian","jornet","Kilian jornet"
104,"Richard","Matheson","Richard Matheson"
105,"Enric","González","Enric González"
106,"Miguel","Angel Revilla","Miguel Angel Revilla"
107,"Frank","Schätzing","Frank Schätzing"
108,"Scott","Jurek","Scott Jurek"
109,"Joel","Dicker","Joel Dicker"
110,"Josef","Ajram","Josef Ajram"
111,"Roberto","Martinez Guzman","Roberto Martinez Guzman"
112,"Christopher","Mcdougall","Christopher Mcdougall"
113,"Tom","Clancy","Tom Clancy"
114,"Dolores","Redondo","Dolores Redondo"
115,"Kevin","Mitnick","Kevin Mitnick"
116,"Mari","Jungstedt","Mari Jungstedt"
117,"Antony","Beevor","Antony Beevor"
118,"Eduardo","Mendoza","Eduardo Mendoza"
119,"Anatoli","Bukreev","Anatoli Bukreev"
120,"Maria","Oruña","Maria Oruña"
121,"Isabel","Allende","Isabel Allende"
122,"Liane","Moriarty","Liane Moriarty"
123,"Francisco","J. Fernandez","Francisco J. Fernandez"
124,"Ramón","Lozano / Santiago Morán","Ramón Lozano / Santiago Morán"
125,"Jose","Sanclemente","Jose Sanclemente"
126,"Carlos","Montero","Carlos Montero"
127,"Sir","John Hunt","Sir John Hunt"
128,"Motley","Crue, Neil Strauss","Motley Crue, Neil Strauss"
129,"Ian","Kilmister, Janiss Garza","Ian Kilmister, Janiss Garza"
130,"Tsutomu","Shimomura","Tsutomu Shimomura"
131,"José","Miguel Gallardo","José Miguel Gallardo"
132,"Javier","Sánchez-Beaskoetxea","Javier Sánchez-Beaskoetxea"
133,"Paulo","Alonso y Antón Bruquetas","Paulo Alonso y Antón Bruquetas"
134,"Irving","Wallace","Irving Wallace"
135,"Angel","Sanchez Crespo","Angel Sanchez Crespo"
136,"Fernando","Gamboa","Fernando Gamboa"
137,"Michael","Conelly","Michael Conelly"
138,"Javier","Cosnava","Javier Cosnava"
139,"Tim","Harford","Tim Harford"
140,"Alonso","Salazar","Alonso Salazar"
141,"Rebeca","Rodríguez Rodríguez","Rebeca Rodríguez Rodríguez"
142,"Gonzalo","Fernández","Gonzalo Fernández"
143,"Paul","Auster","Paul Auster"
144,"Sam","Shepard","Sam Shepard"
145,"Greg","Brooks y Simon Lupton","Greg Brooks y Simon Lupton"
146,"Juanjo","San Sebastián","Juanjo San Sebastián"
147,"Pau","Donés","Pau Donés"
148,"Antonio","Orozco Guerrero","Antonio Orozco Guerrero"
149,"Marcos","Chicot","Marcos Chicot"
150,"Maite","R. Ochotorena","Maite R. Ochotorena"
151,"Cristian","Perfumo","Cristian Perfumo"
152,"Alberto","Serrano Garcia","Alberto Serrano Garcia"
153,"Nacho","Carretero","Nacho Carretero"
154,"Isabel","Keats","Isabel Keats"
155,"Phil","Jackson","Phil Jackson"
156,"José","Vicente Alfaro","José Vicente Alfaro"
157,"Svetlana","Alexievich","Svetlana Alexievich"
158,"Siegfried","Lenz","Siegfried Lenz"
159,"Blas","Ruiz Grau","Blas Ruiz Grau"
160,"Mario","Garrido Espinosa","Mario Garrido Espinosa"
161,"Johnny","The Hunter","Johnny The Hunter"
162,"Joshua","A. Aguilar","Joshua A. Aguilar"
163,"Edward","Rutherfurd","Edward Rutherfurd"
164,"Robert","T. Kyyosaki","Robert T. Kyyosaki"
165,"Steve","Wozniak","Steve Wozniak"
166,"Bruce","Springsteen","Bruce Springsteen"
167,"Apsley","Cherry-Garrard","Apsley Cherry-Garrard"
168,"Juan","Gómez Jurado","Juan Gómez Jurado"
169,"Mónica","Rouanet","Mónica Rouanet"
170,"Ken","Follet","Ken Follet"
171,"George","Orwell","George Orwell"
172,"Steve","Allen","Steve Allen"
173,"Andrew","Mayne","Andrew Mayne"
174,"Piti","Hurtado y Antonio Pacheco","Piti Hurtado y Antonio Pacheco"
175,"Ashlee","Vance","Ashlee Vance"
176,"Kate","Morton","Kate Morton"
