book_year,book_title,author_name
2011,Steve Jobs , Walter Isaacson
2011,Hacia rutas salvajes , Jon Krakauer
2011,Mil Cretinos , Quim Monzó
2011,El Vengador , Frederick Forsyth
2011,Triple , Ken Follet
2011,K2 La lucha de una mujer por la cumbre , Heidi Howkins
2011,Odessa , Frederick Forsyth
2011,Seis ejercitos en Normandia , John Keegan
2011,El partido de mi vida , Pau Gasol
2011,Vuelo Final , Ken Follet
2011,After Dark , Haruki Murakami
2011,Papel Mojado , Ken Follet
2011,"Al sur de la frontera, al oeste del sol ", Haruki Murakami 
2011,"Querida, esto es el Everest ", Arantza L. Marugán
2011,Everest: 50 años de escalada , Alfredo Merino 
2011,De que hablo cuando hablo de correr , Haruki Murakami 
2011,Tokio Blues. Norwegian Wood , Haruki Murakami 
2012,Sé lo que estás pensando , John Verdon
2012,La sombra de la sirena , Camilla Lackberg
2012,"Haciendo majaradas, diciendo tonterias ", Mario Vaquerizo
2012,50 sombras de Grey , E.L.James
2012,Historias de Nueva York , Enric Gonzalez
2012,Que la muerte te acompañe , Risto Mejide
2012,Contrato con Dios ,Juan Gómez Jurado
2012,Las huellas inborrables , Camilla Lackberg
2012,Topaz , Frederick Forsyth
2012,Mal de altura , Jon Krakauer
2012,La caída de los gigantes , Ken Follet
2012,Un mundo sin fin , Ken Follet
2012,El Emblema del Traidor ,Juan Gómez Jurado
2012,Crimen en Directo , Camilla Lackberg
2012,Espia de Dios ,Juan Gómez Jurado
2013,Choque de Reyes, George R. R. Martin
2013,Inferno,Dan Brown
2013,Los vigilantes del faro , Camilla Lackberg
2013,Juego de Tronos , George R. R. Martin
2013,300, Andrea Frediani
2013,La leyenda del ladrón ,Juan Gómez Jurado
2013,Hermanos de sangre , Stephen E. Ambrose
2013,El Manipulador , Frederick Forsyth
2013,El invierno del mundo , Ken Follet
2013,Correr o morir , Kilian jornet
2014,La casa infernal,Richard Matheson
2014,El milagro,Frederick Forsyth
2014,El ciudadano,Frederick Forsyth
2014,Historias de Nueva York,Enric González
2014,Festin de cuervos,George R. R. Martin
2014,Nadie es más que nadie,Miguel Angel Revilla
2014,Tormenta de espadas,George R. R. Martin
2014,El quinto día,Frank Schätzing
2014,"Correr, comer, vivir",Scott Jurek
2014,La verdad sobre el caso Harry Quebert,Joel Dicker
