word_en,word_type_id,word_es
aboard,Adv,a bordo; a bordo de (Prep.)
about,Prep,"acerca de, respecto de, sobre"
about,Adv,"aproximadamente, casi, más o menos, alrededor"
abroad,Adv,en el extranjero
accurate,Adj,"preciso, exacto, correcto"
achieve,Verb_R,"lograr, conseguir, cumplir, realizar, alcanzar"
acquaintance,Sust,conocido
actually,Adv,"realmente, en realidad, =in fact"
advice,Sust,"consejo, aviso"
affectionate,Adj,cariñoso
afraid,Adj,"asustado, atemorizado, temeroso <> unafraid: sin miedo"
ahead,Adv,"por delante, antes que, al frente"
aisle,Sust,pasillo
all around,Adv,alrededor
alley,Sust,callejon
along,Prep,"a lo largo de, junto con"
along,Adv,"adelante, junto, cerca"
also,Adv,"también, además, así mismo"
amaze,Verb_R,asombrar
among,Prep,"en medio de, entre"
anchor,Sust,"ancla, amarre, presentador"
anger,Sust,"ira, furia"
angry,Adj,enfadado
annoy,Verb_R,"molestar, fastidiar"
anyway,Adv,"de todos modos, de cualquier manera"
appetizer,Sust,"aperitivo, tapa"
apply,Verb_R,"aplicar, solicitar"
appointment,Sust,"cita, nombramiento"
approach,Verb_R,"acercarse, aproximarse"
apron,Sust,"delantar, mandil"
argue,Verb_R,"discutir, argumentar"
argument,Sust,"argumento, discusión"
armchair,Sust,sillón
arrange,Verb_R,"organizar, ordenar, arreglar, disponer, planear, acordar, concertar"
asleep,Adj,"dormido, durmiendo"
assess,Verb_R,"evaluar, multar, tasar, gravar, calcular el valor de, contabilizar"
assessment,Sust,"valoración, evaluación, tasación"
asset,Sust,"activo, valor, bien"
assignment,Sust,"encargo, tarea, asignación"
attempt,Verb_R,"intentar, atentar, ensayar"
attempt,Sust,"intento, ensayo, tentativa"
auction,Sust,"subasta, remate"
auction,Verb_R,"subastar, rematar"
aunt,Sust,tía
avoid,Verb_R,"evitar, bordear, eludir, esquivar, evadir, rehuir"
aware,Adj,"consciente, darse cuenta, al tanto"
awareness,Sust,"conciencia, conocimiento, apreciación, percepción"
awful,Adj,"horrible, terrible"
axe,Sust,"hacha, eje"
bachelor,Sust,soltero
background,Sust,"fondo, segundo plano, experiencia, antecedentes"
baggage,Sust,"equipaje (incontable, no se usa plurarl, es igual que luggage)"
bald,Sust,calvo
ban,Verb_R,prohibir
ban,Sust,prohibición
bank,Sust,"banco, rivera, orilla"
banned,Adj,prohibido
bare,Verb_R,"mostrar, descubrir, desnudar"
bare,Adj,"desnudo, descubierto, pelado, escaso"
bargain,Sust,"chollo, ganga, ocasión"
basement,Sust,sotano
batter,Verb_R,"maltratar a golpes, golpear, apalear"
batter,Sust,bateador
battered,Adj,"maltratado, golpeado, estropeado, destrozado"
bawled,Verb_R,"gritar, berrear, chillar"
beard,Sust,barba
beat,Verb_I,"golpear repetidamente (hit: golpear una vez), vencer"
beauty,Sust,belleza
because,Prep,"debido a, a causa de; porque (Conj)"
beg,Verb_I,"pedir limosna, mendigar"
beggar,Sust,mendigo
behave,Verb_I,"comportarse, portarse"
behavior,Sust,"comportamiento, actuación, conducta, funcionamiento, proceder"
beloved,Adv,"amado, querido"
bench,Sust,"banco sentarse, banqueta, banquillo, escaño"
bend,Sust,curva
beneath,Prep,"bajo, debajo de; debajo, abajo (Adv)"
beware,Verb_R,tener cuidado
bewilderment,Sust,"desconcierto, perplejidad"
bin,Sust,"cubo, bote, contenedor (litter bin: papelera)"
bistro,Sust,"casa de comidas, restaurante pequeño"
bleed,Verb_I,sangrar
block of the road,Sust,arcen
bollocks,Sust,"cojones, chorradas"
borough,Sust,"ciudad, municipio, barrio"
borrow,Verb_R,"pedir prestado, tomar prestado"
bother,Sust,"molestia, estorbo, fastidio, engorro, incordio"
bother,Verb_R,"molestar, preoocuparse"
bottlenose,Sust,delfín macho
bound,Adj,obligado
bound,Sust,"limite; botar, moverse dando saltos (Verb_R)"
brace,Sust,abrazadera
brace,Verb_R,"reforzar, apuntalar, atar"
breathtaking,Adj,asombroso
breed,Verb_I,"reproducirse, criar, cruzar, gestar"
breeds,Sust,"tipo, raza, especie"
briefcase,Sust,maletin
bright,Adj,"listo, brillante, lucido"
bring,Verb_I,traer
brink,Sust,"orilla, borde, margen"
broad,Adj,"ancho, amplio - broaden (Verb_R): ensanchar, ampliar"
broadcast,Sust,"emisión, publicación, radiodifusión, reportaje"
broadcast,Adj,"publicitado, radiado"
broadcast,Verb_I,"transmitir, difundir, emitir, comunicar, dar publicidad a "
broaden,Verb_R,"ensanchar, ampliar"
brush,Sust,"cepillo, cepillar"
bulb,Sust,bombilla
bulky,Adj,"voluminoso, gigantesco"
bump,Verb_R,"golpearse, chichón (Sust)"
bunch,Sust,"racimo, lío, manojo, ramo, montón"
bunch,Verb_R,"agrupar, apiñar, agruparse"
bundle,Sust,"lote, bulto, agrupación"
burglar,Sust,ladrón
burst,Verb_I,"reventar, estallar; rafaga, explosión (Sust)"
bust,Verb_R,"averiar, romper, estropear"
bust,Adj,"arruinado, quebrado"
cage,Sust,"jaula, alambrera, prisión"
cage,Verb_R,enjaular
callback,Sust,comunicación de vuelta
calm,Verb_R,"calmar, tranquilizar"
calm,Sust,"calma, tranquilidad"
calm,Adj,"calmado, tranquilo"
calming,Adj,"calmante, tranquilizante"
carefree,Adj,despreocupado
carry,Verb_R,llevar
catch,Verb_I,"coger, atrapar, pillar"
catchy,Adj,pegadizo
chance,Sust,"oportunidad, ocasion, posibilidad, azar, casualidad"
charge,Verb_R,"cobrar, cargar"
charge,Sust,"carga, cobro"
charity,Sust,"caridad, altruismo, beneficiencia"
charm,Sust,"encanto, atractivo, carisma"
cheeky,Adj,"atrevido, descarado, fresco"
childhood,Sust,"infancia, niñez"
chill,Sust,"escalofrio, frio"
chill,Verb_R,"enfriar, refrigerar"
cipher,Sust,"cifra, clave, código"
cipher,Verb_R,"cifrar, codificar"
claim,Verb_R,"reclamar, cobrar, demandar, exigir"
claim,Sust,"reclamación, demanda, pretensión"
clerk,Sust,"empleado, secretario, oficinista"
climb,Sust,"subida, ascensión"
clown,Sust,"payaso, bufón"
clown,Verb_R,hacer el payaso
cluttered,Adj,desordenado
coatrack,Sust,perchero
collapse,Verb_R,derrumbarse
comforting,Adj,"reconfortante, confortador, consolador, aliviador"
comfy,Adj,confortable
commitment,Sust,compromiso
compartment,Sust,compartimiento
complain,Verb_R,"quejarse, reclamar"
comply,Verb_R,"cumplir, consentir, compadecer, acceder, obedecer"
compulsory,Adj,obligatorio
concern,Verb_R,"concernir, atañer, incumbir, preocupar, competer a"
concerned,Adj,"preocupado, ansioso, interesado, afectado, concernido"
confident,Adj,"confiado, seguro"
confident,Sust,"confidente, persona segura"
constraint,Sust,"restricción, coacción, limitación"
cope,Verb_R,"enfrentarse, hacer frente"
core,Sust,"núcleo, centro, corazon, esencia"
core,Verb_R,"quitar el corazón, observar lo del núcleo"
cosy,Adj,acogedor
couch,Sust,"sofa, canape"
council,Sust,consejo
courage,Sust,"valor, coraje, valentia"
cousin,Sust,"primo, prima"
cover,Sust,"cubierta, funda, portada, tapa, refugio, escondite"
cover,Verb_R,"cubrir, forrar, tapar"
craft,Sust,"arte, oficio, trabajo"
cramp,Sust,"calambre, grapa; dar calambre (Verb_R)"
cramped,Adj,"estrecho, apretado, menudo"
craving,Sust,antojo
cream,Sust,"crema, nata"
cross,Adj,"enfadado (cruz (Sust), cruzar, atravesar (Verb_R))"
crowd,Verb_R,"abarrotar, agolparse, llenar de gente, poblar"
crowd,Sust,"multitud, manada, masa"
crowded,Adj,"atestado, lleno de gente"
cue,Sust,"pista, indicio, indirecta, taco, taco de billar"
cue,Verb_R,"pasar la señal, dar la señal, indicar, hacer cola"
cupboard,Sust,"armario, alacena"
